02:06:28: Edge Data
02:06:28: ---------
02:06:28: Triangle 0 = {indexSet=0, vertexSet=0, v0=66, v1=1, v2=65}
02:06:28: Triangle 1 = {indexSet=0, vertexSet=0, v0=67, v1=2, v2=66}
02:06:28: Triangle 2 = {indexSet=0, vertexSet=0, v0=68, v1=3, v2=67}
02:06:28: Triangle 3 = {indexSet=0, vertexSet=0, v0=69, v1=4, v2=68}
02:06:28: Triangle 4 = {indexSet=0, vertexSet=0, v0=70, v1=5, v2=69}
02:06:28: Triangle 5 = {indexSet=0, vertexSet=0, v0=71, v1=6, v2=70}
02:06:28: Triangle 6 = {indexSet=0, vertexSet=0, v0=72, v1=7, v2=71}
02:06:28: Triangle 7 = {indexSet=0, vertexSet=0, v0=73, v1=8, v2=72}
02:06:28: Triangle 8 = {indexSet=0, vertexSet=0, v0=74, v1=9, v2=73}
02:06:28: Triangle 9 = {indexSet=0, vertexSet=0, v0=75, v1=10, v2=74}
02:06:28: Triangle 10 = {indexSet=0, vertexSet=0, v0=76, v1=11, v2=75}
02:06:28: Triangle 11 = {indexSet=0, vertexSet=0, v0=77, v1=12, v2=76}
02:06:28: Triangle 12 = {indexSet=0, vertexSet=0, v0=78, v1=13, v2=77}
02:06:28: Triangle 13 = {indexSet=0, vertexSet=0, v0=79, v1=14, v2=78}
02:06:28: Triangle 14 = {indexSet=0, vertexSet=0, v0=80, v1=15, v2=79}
02:06:28: Triangle 15 = {indexSet=0, vertexSet=0, v0=81, v1=16, v2=80}
02:06:28: Triangle 16 = {indexSet=0, vertexSet=0, v0=82, v1=17, v2=81}
02:06:28: Triangle 17 = {indexSet=0, vertexSet=0, v0=83, v1=18, v2=82}
02:06:28: Triangle 18 = {indexSet=0, vertexSet=0, v0=84, v1=19, v2=83}
02:06:28: Triangle 19 = {indexSet=0, vertexSet=0, v0=85, v1=20, v2=84}
02:06:28: Triangle 20 = {indexSet=0, vertexSet=0, v0=86, v1=21, v2=85}
02:06:28: Triangle 21 = {indexSet=0, vertexSet=0, v0=87, v1=22, v2=86}
02:06:28: Triangle 22 = {indexSet=0, vertexSet=0, v0=88, v1=23, v2=87}
02:06:28: Triangle 23 = {indexSet=0, vertexSet=0, v0=89, v1=24, v2=88}
02:06:28: Triangle 24 = {indexSet=0, vertexSet=0, v0=90, v1=25, v2=89}
02:06:28: Triangle 25 = {indexSet=0, vertexSet=0, v0=91, v1=26, v2=90}
02:06:28: Triangle 26 = {indexSet=0, vertexSet=0, v0=92, v1=27, v2=91}
02:06:28: Triangle 27 = {indexSet=0, vertexSet=0, v0=93, v1=28, v2=92}
02:06:28: Triangle 28 = {indexSet=0, vertexSet=0, v0=94, v1=29, v2=93}
02:06:28: Triangle 29 = {indexSet=0, vertexSet=0, v0=95, v1=30, v2=94}
02:06:28: Triangle 30 = {indexSet=0, vertexSet=0, v0=96, v1=31, v2=95}
02:06:28: Triangle 31 = {indexSet=0, vertexSet=0, v0=97, v1=32, v2=96}
02:06:28: Triangle 32 = {indexSet=0, vertexSet=0, v0=98, v1=33, v2=97}
02:06:28: Triangle 33 = {indexSet=0, vertexSet=0, v0=99, v1=34, v2=98}
02:06:28: Triangle 34 = {indexSet=0, vertexSet=0, v0=100, v1=35, v2=99}
02:06:28: Triangle 35 = {indexSet=0, vertexSet=0, v0=101, v1=36, v2=100}
02:06:28: Triangle 36 = {indexSet=0, vertexSet=0, v0=102, v1=37, v2=101}
02:06:28: Triangle 37 = {indexSet=0, vertexSet=0, v0=103, v1=38, v2=102}
02:06:28: Triangle 38 = {indexSet=0, vertexSet=0, v0=104, v1=39, v2=103}
02:06:28: Triangle 39 = {indexSet=0, vertexSet=0, v0=105, v1=40, v2=104}
02:06:28: Triangle 40 = {indexSet=0, vertexSet=0, v0=106, v1=41, v2=105}
02:06:28: Triangle 41 = {indexSet=0, vertexSet=0, v0=107, v1=42, v2=106}
02:06:28: Triangle 42 = {indexSet=0, vertexSet=0, v0=108, v1=43, v2=107}
02:06:28: Triangle 43 = {indexSet=0, vertexSet=0, v0=109, v1=44, v2=108}
02:06:28: Triangle 44 = {indexSet=0, vertexSet=0, v0=110, v1=45, v2=109}
02:06:28: Triangle 45 = {indexSet=0, vertexSet=0, v0=111, v1=46, v2=110}
02:06:28: Triangle 46 = {indexSet=0, vertexSet=0, v0=112, v1=47, v2=111}
02:06:28: Triangle 47 = {indexSet=0, vertexSet=0, v0=113, v1=48, v2=112}
02:06:28: Triangle 48 = {indexSet=0, vertexSet=0, v0=114, v1=49, v2=113}
02:06:28: Triangle 49 = {indexSet=0, vertexSet=0, v0=115, v1=50, v2=114}
02:06:28: Triangle 50 = {indexSet=0, vertexSet=0, v0=116, v1=51, v2=115}
02:06:28: Triangle 51 = {indexSet=0, vertexSet=0, v0=117, v1=52, v2=116}
02:06:28: Triangle 52 = {indexSet=0, vertexSet=0, v0=118, v1=53, v2=117}
02:06:28: Triangle 53 = {indexSet=0, vertexSet=0, v0=119, v1=54, v2=118}
02:06:28: Triangle 54 = {indexSet=0, vertexSet=0, v0=120, v1=55, v2=119}
02:06:28: Triangle 55 = {indexSet=0, vertexSet=0, v0=121, v1=56, v2=120}
02:06:28: Triangle 56 = {indexSet=0, vertexSet=0, v0=122, v1=57, v2=121}
02:06:28: Triangle 57 = {indexSet=0, vertexSet=0, v0=123, v1=58, v2=122}
02:06:28: Triangle 58 = {indexSet=0, vertexSet=0, v0=124, v1=59, v2=123}
02:06:28: Triangle 59 = {indexSet=0, vertexSet=0, v0=125, v1=60, v2=124}
02:06:28: Triangle 60 = {indexSet=0, vertexSet=0, v0=126, v1=61, v2=125}
02:06:28: Triangle 61 = {indexSet=0, vertexSet=0, v0=127, v1=62, v2=126}
02:06:28: Triangle 62 = {indexSet=0, vertexSet=0, v0=128, v1=63, v2=127}
